concept_name,concept_id_1,SRC CODE,vocabulary_id_1,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,relationship_valid_start_date,relationship_valid_end_date,invalid_reason,confidence,predicate_id,mapping_source,mapping_justification,mapping_tool,Notes
Snellen fraction - Photopic VA - OD,2005200012,viaodpsf,AIREADI-Vision,,21491744,Visual acuity best corrected Right eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79880-1,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Snellen fraction - Photopic VA - OS,2005200013,viaospsf,AIREADI-Vision,,21491745,Visual acuity best corrected Left eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79881-9,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
VA Letter Score - Photopic VA - OD,2005200042,viaodplog,AIREADI-Vision,,21491740,Visual acuity best corrected Right eye by ETDRS eye chart,Measurement,LOINC,Clinical Observation,79876-9,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
VA Letter Score - Photopic VA - OS,2005200043,viaosplog,AIREADI-Vision,,21491741,Visual acuity best corrected Left eye by ETDRS eye chart,Measurement,LOINC,Clinical Observation,79877-7,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Photopic LogMAR OD Score,2005200052,viaodpscore,AIREADI-Vision,,3036966,Visual acuity log MAR Eye - right,Measurement,LOINC,Clinical Observation,6616-7,S,,,,0.5,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Photopic LogMAR OS Score,2005200053,viaospscore,AIREADI-Vision,,3037488,Visual acuity log MAR Eye - left,Measurement,LOINC,Clinical Observation,6617-5,S,,,,0.5,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Snellen fraction - Mesopic VA - OD,2005200054,viaodmsf,AIREADI-Vision,,21491744,Visual acuity best corrected Right eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79880-1,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
Snellen fraction - Mesopic VA - OS,2005200055,viaosmsf,AIREADI-Vision,,21491745,Visual acuity best corrected Left eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79881-9,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
LLVA Letter Score - Mesopic VA - OD,2005200056,viaodmlog,AIREADI-Vision,,21491740,Visual acuity best corrected Right eye by ETDRS eye chart,Measurement,LOINC,Clinical Observation,79876-9,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
LLVA Letter Score - Mesopic VA - OS,2005200057,viaosmlog,AIREADI-Vision,,21491741,Visual acuity best corrected Left eye by ETDRS eye chart,Measurement,LOINC,Clinical Observation,79877-7,S,,,,0.75,skos:broadMatch,ManualMapping,ManualMappingCuration,,
