concept_name,SRC CODE,concept_code,vocabulary_id,domain_id,v6_domain_id,concept_class_id,standard_concept,valid_start_date,valid_end_date,invalid_reason
"concept name of the code you want to add
max 255 characters",,"concept code you want to add
max 50 characters","short name (id) of your vocabulary
max 20 characters","domain of your source concept, has to be an exsting OHDSI domain
max 20 characters",Flagging concepts that could be moved into the survey_conduct domain,"has to be an existing OHDSI class
max 20 characters",empty only,date from the source or default (1/1/1970),12/31/2099,empty only
"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",cmtrt_lfst,2005200004,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Method used to complete form,viaomthd,2005200011,AIREADI,Observation,survey_conduct,Attribute,,1/1/1970,,
Snellen fraction - Photopic VA - OD,viaodpsf,2005200012,AIREADI-Vision,Measurement,,Clinical Observation,,1/1/1970,,
Snellen fraction - Photopic VA - OS,viaospsf,2005200013,AIREADI-Vision,Measurement,,Clinical Observation,,1/1/1970,,
Has a doctor or other healthcare professional ever told you that you have/had...,,2005200014,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"Circulation problems (Examples: arteriosclerosis, atherosclerosis, blood clots in lungs or leg veins)",mhoccur_circ,2005200015,AIREADI,Condition,,Disorder,,1/1/1970,,
Kidney problems,mhoccur_rnl,2005200017,AIREADI,Condition,,Disorder,,1/1/1970,,
Were either of your parents diagnosed with Type II Diabetes?,fh_dm2pt,2005200018,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Has a sibling been diagnosed with Type II Diabetes?,fh_dm2sb,2005200019,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Have you had any beer or ale in the past year?,subrkncf,2005200024,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"During the average week, how many 12 oz. bottles or cans of beer do you usually drink? (Number of bottles or cans per week)",subrdosfr,2005200025,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Have you had any wine in the past year?,suwnkncf,2005200026,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"During the average week, how many 5 oz. glasses of wine do you usually drink?  The average wine bottle has 5 servings. (Number of glasses per week)",suwndosfr,2005200027,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
