FORM_NAME,FIELD_ID,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_CONCEPT_CODE,TARGET_STANDARD_CONCEPT,PREDICATE_ID,CONFIDENCE,MODIFIER,value_as_concept_id,qualifier_concept_id,qualifier_source_value,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,confidence,predicate_id,Notes
bcva,,viaomthd,,Method used to complete form,2005200011,2005200011,Method used to complete form,Observation,AIREADI-Vision,Attribute,,S,skos:exactMatch,1,,,,,,4129438,Method,Observation,SNOMED,Attribute,260686004,N,0.75,skos:broadMatch,
bcva,,viaodpsf,,Snellen fraction - Photopic VA - OD,2005200012,2005200012,Snellen fraction - Photopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,,21491744,Visual acuity best corrected Right eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79880-1,S,0.75,skos:broadMatch,
bcva,,viaospsf,,Snellen fraction - Photopic VA - OS,2005200013,2005200013,Snellen fraction - Photopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,,21491745,Visual acuity best corrected Left eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79881-9,S,0.75,skos:broadMatch,
bcva,,viaodplog,,VA Letter Score - Photopic VA - OD,2005200042,2005200042,VA Letter Score - Photopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,VA Letter Score - Photopic VA - OD,,45876703,Right eye,,21491740,Visual acuity best corrected Right eye by ETDRS eye chart,Measurement,LOINC,Clinical Observation,79876-9,S,0.75,skos:broadMatch,
bcva,,viaosplog,,VA Letter Score - Photopic VA - OS,2005200043,2005200043,VA Letter Score - Photopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,VA Letter Score - Photopic VA - OS,,45883829,Left eye,,21491741,Visual acuity best corrected Left eye by ETDRS eye chart,Measurement,LOINC,Clinical Observation,79877-7,S,0.75,skos:broadMatch,
bcva,,viaodpscore,,Photopic LogMAR OD Score,2005200052,2005200052,Photopic LogMAR OD Score,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,Photopic LogMAR OD Score,,45876703,Right eye,,3036966,Visual acuity log MAR Eye - right,Measurement,LOINC,Clinical Observation,6616-7,S,0.5,skos:broadMatch,
bcva,,viaospscore,,Photopic LogMAR OS Score,2005200053,2005200053,Photopic LogMAR OS Score,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,Photopic LogMAR OS Score,,45883829,Left eye,,3037488,Visual acuity log MAR Eye - left,Measurement,LOINC,Clinical Observation,6617-5,S,0.5,skos:broadMatch,
bcva,,viaodmsf,,Snellen fraction - Mesopic VA - OD,2005200054,2005200054,Snellen fraction - Mesopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,,21491744,Visual acuity best corrected Right eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79880-1,S,0.75,skos:broadMatch,
bcva,,viaosmsf,,Snellen fraction - Mesopic VA - OS,2005200055,2005200055,Snellen fraction - Mesopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,,21491745,Visual acuity best corrected Left eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79881-9,S,0.75,skos:broadMatch,
bcva,,viaodmlog,,LLVA Letter Score - Mesopic VA - OD,2005200056,2005200056,LLVA Letter Score - Mesopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,LLVA Letter Score - Mesopic VA,,45876703,Right eye,,21491740,Visual acuity best corrected Right eye by ETDRS eye chart,Measurement,LOINC,Clinical Observation,79876-9,S,0.75,skos:broadMatch,
