concept_name,concept_id_1,SRC_CODE,vocabulary_id_1,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,relationship_valid_start_date,relationship_valid_end_date,invalid_reason,confidence,predicate_id,mapping_source,mapping_justification,mapping_tool,Notes,source
Trail drawings score,2005200344,trails_visuospatial_executive,,,606671,,,,,,,,,,,,,,,,MOCA
Time taken to do trails in seconds,2005200345,trails_visuospatial_executive_time,,,606671,,,,,,,,,,,,,,,,MOCA
Cube drawings score,2005200346,cube_visuospatial_executive,,,606671,,,,,,,,,,,,,,,,MOCA
Time taken to do cube in seconds,2005200347,cube_visuospatial_executive_time,,,606671,,,,,,,,,,,,,,,,MOCA
Clock drawings score,2005200348,clock_visuospatial_executive,,,606671,,,,,,,,,,,,,,,,MOCA
Time taken to do clock in seconds,2005200349,clock_visuospatial_executive_time,,,606671,,,,,,,,,,,,,,,,MOCA
Animal name recall task score,2005200350,naming,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the animal name recall task,2005200351,naming_time,,,606671,,,,,,,,,,,,,,,,MOCA
Words correctly repeated (1st trial) score,2005200352,memory_trial1,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the words correctly repeated (1st trial),2005200353,memory_trial1_time,,,606671,,,,,,,,,,,,,,,,MOCA
Words correctly repeated (2nd trial) score,2005200354,memory_trial2,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the words correctly repeated (2nd trial),2005200355,memory_trial2_time,,,606671,,,,,,,,,,,,,,,,MOCA
Repeating digits score,2005200356,digitspan,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the repeating digits task,2005200357,digitspan_time,,,606671,,,,,,,,,,,,,,,,MOCA
Letter tapping score,2005200358,lettera,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the letter tapping task,2005200359,lettera_time,,,606671,,,,,,,,,,,,,,,,MOCA
Serial 7 subtraction score,2005200360,subtraction,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the serial 7 subtraction task,2005200361,subtraction_time,,,606671,,,,,,,,,,,,,,,,MOCA
Repeats sentences II score,2005200362,repetition,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform repeats sentences II task,2005200363,repetition_time,,,606671,,,,,,,,,,,,,,,,MOCA
Maximal one-minute recall of words beginning with 'F' score,2005200364,verbal_fluency_language,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the words beginning with 'F' recall task,2005200365,verbal_fluency_language_time,,,606671,,,,,,,,,,,,,,,,MOCA
MOCA abstraction score,2005200366,moca_abstraction,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform MOCA abstraction task,2005200367,moca_abstraction_time,,,606671,,,,,,,,,,,,,,,,MOCA
MOCA delayed recall with no cue score,2005200368,delayed_recall_with_no_cue,,,606671,,,,,,,,,,,,,,,,MOCA
Time in seconds to perform the MOCA delayed recall with no cue task,2005200369,delayed_recall_with_no_cue_time,,,606671,,,,,,,,,,,,,,,,MOCA
"MOCA orientation date, month, year, day, place, city score",2005200370,moca_orientation,,,606671,,,,,,,,,,,,,,,,MOCA
"Time in seconds to perform the MOCA orientation date, month, year, day, place, city task",2005200371,moca_orientation_time,,,606671,,,,,,,,,,,,,,,,MOCA
Age in years (3-4 year span),2005200372,age_years_at_interview,,,606671,,,,,,,,,,,,,,,,MOCA
"MOCA delayed recall with no cue, cue, and multiple choice cue (Combined score)",2005200373,moca_combined_mis_score,,,606671,,,,,,,,,,,,,,,,MOCA
