concept_name,concept_id_1,SRC_CODE,vocabulary_id_1,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,relationship_valid_start_date,relationship_valid_end_date,invalid_reason,confidence,predicate_id,mapping_source,mapping_justification,mapping_tool,Notes,source
VA Letter Score - Photopic VA - OD,2005200042,viaodplog,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
VA Letter Score - Photopic VA - OS,2005200043,viaosplog,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Photopic LogMAR OD Score,2005200052,viaodpscore,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Photopic LogMAR OS Score,2005200053,viaospscore,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
LLVA Letter Score - Mesopic VA - OD,2005200056,viaodmlog,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
LLVA Letter Score - Mesopic VA - OS,2005200057,viaosmlog,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Mesopic LogMAR OD Score,2005200336,viaodmscore,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Mesopic LogMAR OS Score,2005200337,viaosmscore,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Photopic VA - OD,2005200012,viaodpsf,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Photopic VA - OS,2005200013,viaospsf,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Mesopic VA - OD,2005200054,viaodmsf,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
Snellen fraction - Mesopic VA - OS,2005200055,viaosmsf,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
EVA,2005200058,1,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
"OD: Value of final correct letter - Mesopic, right eye",2005200486,mlcsodfcl,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
"OD: Number of misses prior to stopping - Mesopic, right eye",2005200487,mlcsodmiss,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
"OD: Log Contrast Sensitivity - Mesopic, right eye",2005200552,mlcsodlog,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
"OS: Value of final correct letter - Mesopic, left eye",2005200488,mlcsosfcl,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
"OS: Number of misses prior to stopping - Mesopic, left eye",2005200489,mlcsosmiss,AIREADI-Vision,,,,,,,,,,,,,,,,,,RedCap
