concept_id,SRC_CODE,concept_name,vocabulary_id,domain_id,concept_class_id,standard_concept,valid_start_date,valid_end_date,invalid_reason,source
2005200344,trails_visuospatial_executive,Trail drawings score,,,,,1/1/1970,,,MOCA
2005200345,trails_visuospatial_executive_time,Time taken to do trails in seconds,,,,,1/1/1970,,,MOCA
2005200346,cube_visuospatial_executive,Cube drawings score,,,,,1/1/1970,,,MOCA
2005200347,cube_visuospatial_executive_time,Time taken to do cube in seconds,,,,,1/1/1970,,,MOCA
2005200348,clock_visuospatial_executive,Clock drawings score,,,,,1/1/1970,,,MOCA
2005200349,clock_visuospatial_executive_time,Time taken to do clock in seconds,,,,,1/1/1970,,,MOCA
2005200350,naming,Animal name recall task score,,,,,1/1/1970,,,MOCA
2005200351,naming_time,Time in seconds to perform the animal name recall task,,,,,1/1/1970,,,MOCA
2005200352,memory_trial1,Words correctly repeated (1st trial) score,,,,,1/1/1970,,,MOCA
2005200353,memory_trial1_time,Time in seconds to perform the words correctly repeated (1st trial),,,,,1/1/1970,,,MOCA
2005200354,memory_trial2,Words correctly repeated (2nd trial) score,,,,,1/1/1970,,,MOCA
2005200355,memory_trial2_time,Time in seconds to perform the words correctly repeated (2nd trial),,,,,1/1/1970,,,MOCA
2005200356,digitspan,Repeating digits score,,,,,1/1/1970,,,MOCA
2005200357,digitspan_time,Time in seconds to perform the repeating digits task,,,,,1/1/1970,,,MOCA
2005200358,lettera,Letter tapping score,,,,,1/1/1970,,,MOCA
2005200359,lettera_time,Time in seconds to perform the letter tapping task,,,,,1/1/1970,,,MOCA
2005200360,subtraction,Serial 7 subtraction score,,,,,1/1/1970,,,MOCA
2005200361,subtraction_time,Time in seconds to perform the serial 7 subtraction task,,,,,1/1/1970,,,MOCA
2005200362,repetition,Repeats sentences II score,,,,,1/1/1970,,,MOCA
2005200363,repetition_time,Time in seconds to perform repeats sentences II task,,,,,1/1/1970,,,MOCA
2005200364,verbal_fluency_language,Maximal one-minute recall of words beginning with 'F' score,,,,,1/1/1970,,,MOCA
2005200365,verbal_fluency_language_time,Time in seconds to perform the words beginning with 'F' recall task,,,,,1/1/1970,,,MOCA
2005200366,moca_abstraction,MOCA abstraction score,,,,,1/1/1970,,,MOCA
2005200367,moca_abstraction_time,Time in seconds to perform MOCA abstraction task,,,,,1/1/1970,,,MOCA
2005200368,delayed_recall_with_no_cue,MOCA delayed recall with no cue score,,,,,1/1/1970,,,MOCA
2005200369,delayed_recall_with_no_cue_time,Time in seconds to perform the MOCA delayed recall with no cue task,,,,,1/1/1970,,,MOCA
2005200370,moca_orientation,"MOCA orientation date, month, year, day, place, city score",,,,,1/1/1970,,,MOCA
2005200371,moca_orientation_time,"Time in seconds to perform the MOCA orientation date, month, year, day, place, city task",,,,,1/1/1970,,,MOCA
2005200372,age_years_at_interview,Age in years (3-4 year span),,,,,1/1/1970,,,MOCA
2005200373,moca_combined_mis_score,"MOCA delayed recall with no cue, cue, and multiple choice cue (Combined score)",,,,,1/1/1970,,,MOCA
2005200042,viaodplog,VA Letter Score - Photopic VA - OD,,,,,1/1/1970,,,RedCap
2005200043,viaosplog,VA Letter Score - Photopic VA - OS,,,,,1/1/1970,,,RedCap
2005200052,viaodpscore,Photopic LogMAR OD Score,,,,,1/1/1970,,,RedCap
2005200053,viaospscore,Photopic LogMAR OS Score,,,,,1/1/1970,,,RedCap
2005200056,viaodmlog,LLVA Letter Score - Mesopic VA - OD,,,,,1/1/1970,,,RedCap
2005200057,viaosmlog,LLVA Letter Score - Mesopic VA - OS,,,,,1/1/1970,,,RedCap
2005200336,viaodmscore,Mesopic LogMAR OD Score,,,,,1/1/1970,,,RedCap
2005200337,viaosmscore,Mesopic LogMAR OS Score,,,,,1/1/1970,,,RedCap
2005200012,viaodpsf,Snellen fraction - Photopic VA - OD,,,,,1/1/1970,,,RedCap
2005200013,viaospsf,Snellen fraction - Photopic VA - OS,,,,,1/1/1970,,,RedCap
2005200054,viaodmsf,Snellen fraction - Mesopic VA - OD,,,,,1/1/1970,,,RedCap
2005200055,viaosmsf,Snellen fraction - Mesopic VA - OS,,,,,1/1/1970,,,RedCap
2005200058,1,EVA,,,,,1/1/1970,,,RedCap
2005200486,mlcsodfcl,"OD: Value of final correct letter - Mesopic, right eye",,,,,1/1/1970,,,RedCap
2005200487,mlcsodmiss,"OD: Number of misses prior to stopping - Mesopic, right eye",,,,,1/1/1970,,,RedCap
2005200552,mlcsodlog,"OD: Log Contrast Sensitivity - Mesopic, right eye",,,,,1/1/1970,,,RedCap
