concept_name,SRC_CODE,concept_id,vocabulary_id,domain_id,v6_domain_id,concept_class_id,standard_concept,valid_start_date,valid_end_date,invalid_reason,source
Trail drawings score,trails_visuospatial_executive,2005200344,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time taken to do trails in seconds,trails_visuospatial_executive_time,2005200345,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Cube drawings score,cube_visuospatial_executive,2005200346,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time taken to do cube in seconds,cube_visuospatial_executive_time,2005200347,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Clock drawings score,clock_visuospatial_executive,2005200348,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time taken to do clock in seconds,clock_visuospatial_executive_time,2005200349,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Animal name recall task score,naming,2005200350,AIREADI-MOCA,Measurement,survey_conduct,Observable Entity,S,1/1/1970,,,MOCA
Time in seconds to perform the animal name recall task,naming_time,2005200351,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Words correctly repeated (1st trial) score,memory_trial1,2005200352,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the words correctly repeated (1st trial),memory_trial1_time,2005200353,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Words correctly repeated (2nd trial) score,memory_trial2,2005200354,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the words correctly repeated (2nd trial),memory_trial2_time,2005200355,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Repeating digits score,digitspan,2005200356,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the repeating digits task,digitspan_time,2005200357,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Letter tapping score,lettera,2005200358,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
Time in seconds to perform the letter tapping task,lettera_time,2005200359,AIREADI-MOCA,Measurement,survey_conduct,Assessment Item ,S,1/1/1970,,,MOCA
