concept_name,concept_id_1,SRC_CODE,vocabulary_id_1,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,relationship_valid_start_date,relationship_valid_end_date,invalid_reason,confidence,predicate_id,mapping_source,mapping_justification,mapping_tool,Notes,source
Trail drawings score,2005200344,trails_visuospatial_executive,AIREADI-MOCA,,4165596,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time taken to do trails in seconds,2005200345,trails_visuospatial_executive_time,AIREADI-MOCA,,4165596,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Cube drawings score,2005200346,cube_visuospatial_executive,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time taken to do cube in seconds,2005200347,cube_visuospatial_executive_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Clock drawings score,2005200348,clock_visuospatial_executive,AIREADI-MOCA,,21492218,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time taken to do clock in seconds,2005200349,clock_visuospatial_executive_time,AIREADI-MOCA,,21492218,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Animal name recall task score,2005200350,naming,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the animal name recall task,2005200351,naming_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Words correctly repeated (1st trial) score,2005200352,memory_trial1,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
Time in seconds to perform the words correctly repeated (1st trial),2005200353,memory_trial1_time,AIREADI-MOCA,,606671,Montreal Cognitive Assessment version 8.1,Measurement,SNOMED,Staging / Scales,1148423001,S,,,,1,skos:broadMatch,ManualMapping,ManualMappingCuration,,,MOCA
