Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,ehr_information,,text,Screening ID,,,,,,,,,LV,,,,
doc,ehr_information,,text,Record Creation Date,,,date_mdy,,,,,,LV,,,, @HIDEBUTTON @READONLY
mrn,ehr_information,,text,MRN,,,,,,y,,,LV,,,,
brthdat,ehr_information,,text,Birth Date,,,date_mdy,,,y,,,LV,,,, @HIDEBUTTON
sex,ehr_information,,radio,Sex at birth,"F, Female | M, Male | I, Intersex | 99, Not available",,,,,,,,LV,,,,
language,ehr_information,,text,Primary Language,,,,,,,,,LV,,,,
race_ehr,ehr_information,,text,EHR Race,,,,,,,,,LV,,,,
ethnic_ehr,ehr_information,,text,EHR Ethnicity,,,,,,,,,LV,,,,
fname,ehr_information,,text,First,,,,,,y,,,LV,,,,
lname,ehr_information,,text,Last,,,,,,y,,,LV,,,,
address_hdr,ehr_information,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #34495e;""><strong>Contact Info</strong></span></h6> </div> </div></div>",,,,,,y,,,,,,,
home_ph,ehr_information,,text,Home Phone,,,phone,,,y,,,LV,,,,
cell_ph,ehr_information,,text,Cell Phone,,,phone,,,y,,,LV,,,,
email,ehr_information,,text,Email Address,,"<span class=""text-primary"">* Used for communications with participants during the screening and consent process</span>",email,,,y,,,LV,,,,
