FORM_NAME,FIELD_ID,SRC_CODE,SRC_CODE_ID,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES
bcva,,viaocmpdat,,2005200441,2005200441,Performed date of BCVA,Observation,AIREADI,Procedure,S,,skos:exactMatch,1,,Performed on value_as_concept_id = 1035260 | LA30233-3
bcva,,viaomthd,,2005200011,2005200011,Method used to complete form,Observation,AIREADI,Attribute,S,,skos:exactMatch,1,,260686004
bcva,,viaodpsf,,2005200012,2005200012,Snellen fraction - Photopic VA - OD,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,,79880-1
bcva,,viaospsf,,2005200013,2005200013,Snellen fraction - Photopic VA - OS,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,,79881-9
bcva,,viaodplog,,2005200042,2005200042,VA Letter Score - Photopic VA - OD,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,VA Letter Score - Photopic VA,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79876-9"
bcva,,viaosplog,,2005200043,2005200043,VA Letter Score - Photopic VA - OS,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,VA Letter Score - Photopic VA,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79877-7"
bcva,,viaodpscore,,2005200052,2005200052,Photopic LogMAR OD Score,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,Photopic,"1=Photopic, 2=Mesopic | 6616-7"
bcva,,viaospscore,,2005200053,2005200053,Photopic LogMAR OS Score,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,Photopic,"1=Photopic, 2=Mesopic | 6617-5"
bcva,,viaodmsf,,2005200054,2005200054,Snellen fraction - Mesopic VA - OD,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,,79880-1
bcva,,viaosmsf,,2005200055,2005200055,Snellen fraction - Mesopic VA - OS,Measurement,AIREADI,Clinical Observation,S,,skos:exactMatch,1,,79881-9
