Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub_REDCap_dataset,Protected_or_open-source,Extension_Needed,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,temp_Question_or_Answer,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_CONCEPT_CODE,TARGET_STANDARD_CONCEPT,PREDICATE_ID,CONFIDENCE,MODIFIER,value_as_concept_id,qualifier_concept_id,qualifier_source_value,NOTES,Choices_Calculations_OR_Slider_Labels
Changed,4/30/2025,No,Yes,locked (unavailable),No,demographics_survey,text,,1116,Question,genderidot,,Other (please specify),46235215,,Gender identity,Observation,LOINC,Clinical Observation,76691-5,S,skos:exactMatch,1,,,,,LA6310-2,
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1507,Question,viaodplog,,VA Letter Score - Photopic VA - OD,2005200042,2005200042,VA Letter Score - Photopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,VA Letter Score - Photopic VA - OD,,45876703,Right eye,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79876-9",
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1508,Question,viaosplog,,VA Letter Score - Photopic VA - OS,2005200043,2005200043,VA Letter Score - Photopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,VA Letter Score - Photopic VA - OS,,45883829,Left eye,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79877-7",
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,calc,,1509,Question,viaodpscore,,Photopic LogMAR OD Score,2005200052,2005200052,Photopic LogMAR OD Score,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,Photopic LogMAR OD Score,,45876703,Right eye,"1=Photopic, 2=Mesopic | 6616-7","if([viaocmpyn(999)] = '0',(-0.02 * [viaodplog]) + 1.7,'')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,calc,,1510,Question,viaospscore,,Photopic LogMAR OS Score,2005200053,2005200053,Photopic LogMAR OS Score,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,Photopic LogMAR OS Score,,45883829,Left eye,"1=Photopic, 2=Mesopic | 6617-5","if([viaocmpyn(999)] = '0',(-0.02 * [viaosplog]) + 1.7,'')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1513,Question,viaodmlog,,LLVA Letter Score - Mesopic VA - OD,2005200056,2005200056,LLVA Letter Score - Mesopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,LLVA Letter Score - Mesopic VA,,45876703,Right eye,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79876-9",
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1514,Question,viaosmlog,,LLVA Letter Score - Mesopic VA - OS,2005200057,2005200057,LLVA Letter Score - Mesopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,LLVA Letter Score - Mesopic VA,,45883829,Left eye,"1=VA Letter Score - Photopic VA, 2=LLVA Letter Score - Mesopic VA | 79877-7",
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,calc,,1515,Question,viaodmscore,,Mesopic LogMAR OD Score,2005200336,2005200336,Mesopic LogMAR OD Score,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,Mesopic LogMAR OD Score,,45876703,Right eye,"1=Photopic, 2=Mesopic | 6616-7","if([viaocmpyn(999)] = '0',(-0.02 * [viaodmlog]) + 1.7,'')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,calc,,1516,Question,viaosmscore,,Mesopic LogMAR OS Score,2005200337,2005200337,Mesopic LogMAR OS Score,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,Mesopic LogMAR OS Score,,45883829,Left eye,"1=Photopic, 2=Mesopic | 6617-5","if([viaocmpyn(999)] = '0',(-0.02 * [viaosmlog]) + 1.7,'')"
Changed,4/24/2025,Yes,Yes,open-source,Yes,bcva,text,,1505,Question,viaodpsf,,Snellen fraction - Photopic VA - OD,2005200012,2005200012,Snellen fraction - Photopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,79880-1,
