Origin,Date of Variable Modification,Map to OMOP?,transferred to fairhub (REDCap dataset),Protected or open-source?,Extension Needed,original sort order,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,NOTES_Outdated,,"Choices, Calculations, OR Slider Labels",Field Note,PhenX Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Ext_Vocabulary_Subcategory,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code ,REDCAP_ File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID
Original,6/23/2023,No,No,locked (unavailable),No,1,ehr_information,text,,1000,record_id,,Screening ID,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,2,ehr_information,text,,1001,doc,,Record Creation Date,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,3,ehr_information,text,,1002,mrn,,MRN,3043495,,Medical record number [Identifier],Observation,LOINC,Clinical Observation,S,46106-1,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Deleted,4/30/2024,No,No,locked (unavailable),No,4,ehr_information,text,,1003,brthdat,,Birth Date,3022007,,Birth date,Observation,LOINC,Clinical Observation,S,21112-8,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,5,ehr_information,text,,1004,sex,,Sex at birth,46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,10/2,,"F, Female | M, Male | I, Intersex | 99, Not available",,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,6,ehr_information,text,,1005,language,,Primary Language,3043205,,Language.primary,Observation,LOINC,Clinical Observation,S,45402-5,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,7,ehr_information,text,,1006,race_ehr,,EHR Race,3046853,,Race,Observation,LOINC,Clinical Observation,S,32624-9,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,8,ehr_information,text,,1007,ethnic_ehr,,EHR Ethnicity,44803968,,Ethnicity,Observation,SNOMED,Qualifier Value,S,723621000000103,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,9,ehr_information,text,,1008,fname,,First,1617559,,First (Given) name Person,Observation,LOINC,Clinical Observation,S,97848-6,skos:narrowMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,10,ehr_information,text,,1009,lname,,Last,1617135,,Last (Family) name Person,Observation,LOINC,Clinical Observation,S,97847-8,skos:narrowMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Changed,4/25/2024,No,No,locked (unavailable),No,11,ehr_information,text,,1010,home_ph,,Home Phone,36303303,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,0.75,Home,"1 = Home, 2 = Cell, 3 = Alternate, 4 = Alternate Cell",10/2,,,,,,,,,,,,,,,,,
Changed,4/25/2024,No,No,locked (unavailable),No,12,ehr_information,text,,1011,cell_ph,,Cell Phone,36303303,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,0.75,Cell,"1 = Home, 2 = Cell, 3 = Alternate, 4 = Alternate Cell",10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,13,ehr_information,text,,1012,email,,Email Address,36303592,,Contact email address,Observation,LOINC,Clinical Observation,S,89058-2,skos:closeMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,14,ehr_information,text,,1013,recruitment_access_code,,Recruitment survey access code,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,15,ehr_information,text,,1014,recruitment_url,,Recruitment survey url,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,16,mailing_information,text,,1015,street,,Street/PO Box,36309067,,Street,Meas Value,LOINC,Answer,S,LA28897-9,skos:broadMatch,0.75,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,17,mailing_information,text,,1016,city,,City,40771522,,City,Observation,LOINC,Survey,S,68997-6,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,18,mailing_information,dropdown,,1017,state,,State,3052558,,State of residence,Observation,LOINC,Survey,S,46499-0,skos:exactMatch,1,,,10/2,,"AL, Alabama | AK, Alaska | AZ, Arizona | AR, Arkansas | CA, California | CO, Colorado | CT, Connecticut | DE, Delaware | FL, Florida | GA, Georgia | HI, Hawaii | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia",,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,19,mailing_information,text,,1018,zip,,Zip Code,3043579,,Postal code [Location],Observation,LOINC,Clinical Observation,S,45401-7,skos:closeMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,protected,No,20,recruitment_survey_management,text,,1019,mgmtdat,,Date initial mailing to be sent,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,21,recruitment_survey_management,text,,1020,siteid,,Site,4022057,,Site,Observation,SNOMED,Attribute,S,10546003,skos:exactMatch,1,,,10/2,,,,,,,,,,,,,,,,,
Original,6/23/2023,No,No,locked (unavailable),No,22,recruitment_survey_management,calc,,1021,age,,Age,4265453,,Age,Observation,SNOMED,Qualifier Value,S,397669002,skos:exactMatch,1,,,10/2,,"rounddown(datediff([brthdat],[mgmtdat],'y', true),2)",,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,open-source,No,23,recruitment_survey_management,checkbox,,1022,screen_alert_trigger,,FAQ Follow Up Move participant forward to Screening,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,"1, Send participant invitation to resume surveys starting at the <em style=""color: #169179;"">Screening survey",,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,open-source,No,24,recruitment_survey_management,checkbox,,1023,consent_alert_trigger,,Move participant forward to Consent,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,"1, Send participant invitation to resume surveys starting at the <em style=""color: #169179;"">Consent survey",,,,,,,,,,,,,,,
Original,6/23/2023,No,Yes,open-source,No,25,recruitment_survey_management,checkbox,,1024,stop_srvy,,Cancel survey invitations,none - OPS,,,,,,,N/A - operational variable,,,,,10/2,,"1, Checking this box and saving the form cancels any scheduled automated invitations and prevents any future invitations from being scheduled",,,,,,,,,,,,,,,
