Map_to_OMOP,Protected_or_open-source,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,qualifier_concept_id,qualifier_source_value,NOTES
No,locked (unavailable),ehr_information,text,,1000,record_id,,Screening ID,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,locked (unavailable),ehr_information,text,,1001,doc,,Record Creation Date,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,locked (unavailable),ehr_information,text,,1002,mrn,,MRN,0,,Medical record number [Identifier],Observation,LOINC,Clinical Observation,S,46106-1,skos:exactMatch,1,,,,3043495
No,locked (unavailable),ehr_information,text,,1003,brthdat,,Birth Date,0,,Birth date,Observation,LOINC,Clinical Observation,S,21112-8,skos:exactMatch,1,,,,Prev ID: 3022007
No,locked (unavailable),ehr_information,text,,1004,sex,,Sex at birth,0,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,,46235213
No,locked (unavailable),ehr_information,text,,1005,language,,Primary Language,0,,Language.primary,Observation,LOINC,Clinical Observation,S,45402-5,skos:exactMatch,1,,,,3043205
No,locked (unavailable),ehr_information,text,,1006,race_ehr,,EHR Race,0,,Race,Observation,LOINC,Clinical Observation,S,32624-9,skos:exactMatch,1,,,,3046853
No,locked (unavailable),ehr_information,text,,1007,ethnic_ehr,,EHR Ethnicity,0,,Ethnicity,Observation,SNOMED,Qualifier Value,S,723621000000103,skos:exactMatch,1,,,,44803968
No,locked (unavailable),ehr_information,text,,1008,fname,,First,0,,First (Given) name Person,Observation,LOINC,Clinical Observation,S,97848-6,skos:narrowMatch,1,,,,1617559
No,locked (unavailable),ehr_information,text,,1009,lname,,Last,0,,Last (Family) name Person,Observation,LOINC,Clinical Observation,S,97847-8,skos:narrowMatch,1,,,,1617135
No,locked (unavailable),ehr_information,text,,1010,home_ph,,Home Phone,0,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,0.75,Home,,,"1 = Home, 2 = Cell, 3 = Alternate, 4 = Alternate Cell"
No,locked (unavailable),ehr_information,text,,1011,cell_ph,,Cell Phone,0,,Contact Phone number,Observation,LOINC,Clinical Observation,S,89060-8,skos:broadMatch,0.75,Cell,,,"1 = Home, 2 = Cell, 3 = Alternate, 4 = Alternate Cell"
No,locked (unavailable),ehr_information,text,,1012,email,,Email Address,0,,Contact email address,Observation,LOINC,Clinical Observation,S,89058-2,skos:closeMatch,1,,,,36303592
No,locked (unavailable),ehr_information,text,,1013,recruitment_access_code,,Recruitment survey access code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,locked (unavailable),ehr_information,text,,1014,recruitment_url,,Recruitment survey url,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,locked (unavailable),mailing_information,text,,1015,street,,Street/PO Box,0,,Street,Meas Value,LOINC,Answer,S,LA28897-9,skos:broadMatch,0.75,,,,36309067
No,locked (unavailable),mailing_information,text,,1016,city,,City,0,,City,Observation,LOINC,Survey,S,68997-6,skos:exactMatch,1,,,,40771522
No,locked (unavailable),mailing_information,dropdown,,1017,state,,State,0,,State of residence,Observation,LOINC,Survey,S,46499-0,skos:exactMatch,1,,,,3052558
No,locked (unavailable),mailing_information,text,,1018,zip,,Zip Code,0,,Postal code [Location],Observation,LOINC,Clinical Observation,S,45401-7,skos:closeMatch,1,,,,3043579
No,protected,recruitment_survey_management,text,,1019,mgmtdat,,Date initial mailing to be sent,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,locked (unavailable),recruitment_survey_management,text,,1020,siteid,,Site,0,,Site,Observation,SNOMED,Attribute,S,10546003,skos:exactMatch,1,,,,4022057
No,locked (unavailable),recruitment_survey_management,calc,,1021,age,,Age,0,,Age,Observation,SNOMED,Qualifier Value,S,397669002,skos:exactMatch,1,,,,4265453
No,open-source,recruitment_survey_management,checkbox,,1022,screen_alert_trigger,,FAQ Follow Up Move participant forward to Screening,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,recruitment_survey_management,checkbox,,1023,consent_alert_trigger,,Move participant forward to Consent,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,recruitment_survey_management,checkbox,,1024,stop_srvy,,Cancel survey invitations,none - OPS,,,,,,,N/A - operational variable,,,,,,
Yes,open-source,recruitment_survey,text,,1025,reccmpdat,,Recruitment survey date (date survey/form opened),3039611,,Survey reporting period start date,Observation,LOINC,Survey,S,52832-3,skos:closeMatch,0.75,,,,Performed on value_as_concept_id = 1035260
No,locked (unavailable),recruitment_survey,text,,1026,rec_crcid,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,recruitment_survey,checkbox,,1027,recruit_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
No,open-source,recruitment_survey,radio,,1028,scrn_intst1,,Are you interested to learn if you're eligible for our research study?,none - OPS,,,,,,,N/A - operational variable,,,,,,
Yes,open-source,recruitment_survey,text,,1029,recstartts,,Recruitment Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Started Timestamp (from REDCap),2005200561,Recruitment Survey,99423-6
Yes,open-source,recruitment_survey,text,,1030,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Completed Timestamp (from REDCap),2005200561,Recruitment Survey,99423-6
Yes,open-source,faq_survey,text,,1031,faqcmpdat,,FAQ Survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,FAQ survey date (date survey/form opened),2005200562,FAQ Survey,
No,locked (unavailable),faq_survey,text,,1032,crcid_faq,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,faq_survey,checkbox,,1033,faq_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
No,open-source,faq_survey,radio,,1034,scrn_intst2,,Are you interested in learning if you're eligible for our research study?,none - OPS,,,,,,,N/A - operational variable,,,,,,
Yes,open-source,faq_survey,text,,1035,faqstartts,,FAQ Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Started Timestamp (from REDCap),2005200562,FAQ Survey,398215006
Yes,open-source,faq_survey,text,,1036,faqcmpts,,FAQ Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Completed Timestamp (from REDCap),2005200562,FAQ Survey,398215006
Yes,open-source,screening_survey,text,,1037,scrcmpdat,,Screening survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Screening survey date (date survey/form opened),2005200563,Screening Survey,
No,locked (unavailable),screening_survey,text,,1038,crcid_scrn,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,screening_survey,checkbox,,1039,screen_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
Yes,protected,screening_survey,yesno,,1040,rp_childpot,,Are you currently pregnant?,40768856,,Are you currently pregnant [PhenX],Observation,LOINC,Clinical Observation,S,66174-4,skos:exactMatch,1,,,,LA14670-6
Yes,open-source,screening_survey,yesno,,1041,mhterm_dm1,,Type I Diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,45883360,45883360,Diabetes Type 1,
Yes,open-source,screening_survey,yesno,,1042,mh_a1c,,Elevated A1C levels (elevated blood sugars),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,2005200547,2005200547,Elevated A1C levels (elevated blood sugars),269823000
