FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES
recruitment_survey,text,,1029,recstartts,,Recruitment Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Started Timestamp (from REDCap),99423-6
recruitment_survey,text,,1030,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Completed Timestamp (from REDCap),99423-6
faq_survey,text,,1031,faqcmpdat,,FAQ survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,FAQ survey date (date survey/form opened),
faq_survey,text,,1035,faqstartts,,FAQ Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Started Timestamp (from REDCap),398215006
faq_survey,text,,1036,faqcmpts,,FAQ Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Completed Timestamp (from REDCap),398215006
screening_survey,text,,1037,scrcmpdat,,Screening survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Screening survey date (date survey/form opened),
faq_survey,text,,1031,faqcmpdat,,FAQ survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,FAQ survey date (date survey/form opened),
screening_survey,yesno,,1042,mh_a1c,,Elevated A1C levels (elevated blood sugars),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,Elevated A1C levels (elevated blood sugars),269823000
screening_survey,yesno,,1043,mhterm_dm2,,Type II Diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,201826,LA10552-0 | 44054006
screening_survey,yesno,,1045,mhterm_predm,,Pre-diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,37018196,714628002
screening_survey,text,,1060,scrstartts,, Screening Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Screening Survey Started Timestamp (from REDCap),99423-6
screening_survey,text,,1061,scrcmpts,, Screening Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75, Screening Survey Completed Timestamp (from REDCap),99423-6
