Ext_concept_id,LOCAL_CONCEPT_ID,Ext_concept_name,Ext_domain_id,Ext_vocabulary_id,Ext_concept_class_ID,Ext_STANDARD_CONCEPT,Ext_concept_code,Ext_Valid_start_date,Ext_Valid_end_date,Ext_Invalid_reason,Ext_PREDICATE_ID,Ext_CONFIDENCE,Ext_provenance,Ext_subvocabulary_id,,Origin,Date of Variable Modification,Map to OMOP?,transferred to fairhub (REDCap dataset),Protected or open-source?,Extension Needed,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,CONFIDENCE,MODIFIER,NOTES,Dev Version,,"Choices, Calculations, OR Slider Labels",Field Note,PhenX Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,SRC_CODE_UNIT,SRC_CODE_DESCRIPTION_UNIT,UCUM_Concept_ID,MOCA_File_Fieldname,MOCA File Fieldname_Naming_Unit,MOCA_Example_Data,MOCA_Data_Type,MOCA_Value_Range,MOCA_Data_Description,Equivalent_NDA_MOCA_element_name (at https://nda.nih.gov/data_structure.html?short_name=moca01)
2005200344,2005200344,Time taken to do trails in seconds,Measurement,AIREADI-MOCA,,,,2024-04-11,2099-12-31,Null,,,,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,sec,,seconds,,,,measurement,,,,,,,,,,,,,,,,,,8555,Time(sec.),trails_time,8,Integer,,Time taken to do trails in seconds,none
2005200345,2005200345,Cube drawings score,Observation,AIREADI-MOCA,,,,2024-04-11,2099-12-31,Null,,,,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,,,,,,,observation,,,,,,,,,,,,,,,,,,,Cube,,1,Integer,0-1,Cube drawings score,section of visuospatial_executive
2005200346,2005200346,Time taken to do cube in seconds,Measurement,AIREADI-MOCA,,,,2024-04-11,2099-12-31,Null,,,,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,sec,,seconds,,,,measurement,,,,,,,,,,,,,,,,,,8555,Time(sec.),cube_time,17,Integer,,Time taken to do cube in seconds,none
2005200347,2005200347,Time taken to do clock in seconds,Measurement,AIREADI-MOCA,,,,2024-04-11,2099-12-31,Null,,,,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,sec,,seconds,,,,measurement,,,,,,,,,,,,,,,,,,8555,Time(sec.),clock_time,9,Integer,,Time taken to do clock in seconds,none
2005200348,2005200348,Animal name recall task,Observation,AIREADI-MOCA,Staging / Scales,S,273656006,2024-04-11,2099-12-31,Null,skos:broadMatch,0.75,273656006,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,,,,4169312,,Object naming test,observation,SNOMED,Staging / Scales,S,273656006,0.75,,,,,,,,,,,,,,Naming (3 points),,3,Integer,0-3,Animal name recall task,naming
2005200349,2005200349,time in seconds to perform the animal name recall task,Measurement,AIREADI-MOCA,,,,2024-04-11,2099-12-31,Null,,,,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,sec,,seconds,,,,measurement,,,,,,,,,,,,,,,,,,8555,Naming(sec.),naming_time,21,Integer,,time in seconds to perform the animal name recall task,none
2005200350,2005200350,Words correctly repeated (1st trial),Observation,AIREADI-MOCA,Staging / Scales,S,273805000,2024-04-11,2099-12-31,Null,skos:broadMatch,0.5,273805000,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,,,,4169340,,Short-term memory test,observation,SNOMED,Staging / Scales,S,273805000,0.5,,,,,,,,,,,,,,Memory Trial 1,,5,Integer,0-5,Words correctly repeated (1st trial),memory_1st
2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,,,,2024-04-11,2099-12-31,Null,,,,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,,,,,,,measurement,,,,,,,,,,,,,,,,,,,Memory Trial 1(sec.),memorytrial1_time,5,Integer,,Time in seconds to perform the above task.,none
2005200352,2005200352,Words correctly repeated (2nd trial),Observation,AIREADI-MOCA,Staging / Scales,S,273805000,2024-04-11,2099-12-31,Null,skos:broadMatch,0.5,273805000,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,,,,4169340,,Short-term memory test,observation,SNOMED,Staging / Scales,S,273805000,0.5,,,,,,,,,,,,,,Memory Trial 2,,5,Integer,0-5,Words correctly repeated (2nd trial),memory_2nd
2005200353,2005200353,Letter tapping score,Observation,AIREADI-MOCA,,,,2024-04-11,2099-12-31,Null,,,,MOCA (Version 8.1),,Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),,,,,,,,,,observation,,,,,,,,,,,,,,,,,,,Letter A,,0,Integer,0-1,Letter tapping score,attention_letter
