Ext_concept_id,LOCAL_CONCEPT_ID,Ext_concept_name,Ext_domain_id,Ext_vocabulary_id,Ext_concept_class_ID,Ext_STANDARD_CONCEPT,Ext_concept_code,Ext_Valid_start_date,Ext_Valid_end_date,Ext_Invalid_reason,Ext_PREDICATE_ID,Ext_CONFIDENCE,Ext_provenance,Ext_subvocabulary_id,,Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub_REDCap_dataset,Protected_or_open-source,Extension_Needed,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,CONFIDENCE,MODIFIER,NOTES,Dev_Version,,Choices_Calculations_OR_Slider_Labels,Field_Note,PhenX_Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,SRC_CODE_UNIT,SRC_CODE_DESCRIPTION_UNIT,UCUM_Concept_ID,MOCA_File_Fieldname,MOCA_File_Fieldname_Naming_Unit,MOCA_Example_Data,MOCA_Data_Type,MOCA_Value_Range,MOCA_Data_Description,Equivalent_NDA_MOCA_element_name
2005200000,2005200000,Recruitment Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,recruitment_survey,,Original,6/23/2023,No,Yes,open-source,Yes,recruitment_survey,text,,1029,recstartts,,Recruitment Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200001,2005200001,Recruitment Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,recruitment_survey,,Original,6/23/2023,No,Yes,open-source,Yes,recruitment_survey,text,,1030,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200002,2005200002,FAQ Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,faq_survey,,Original,6/23/2023,No,Yes,open-source,Yes,faq_survey,text,,1035,faqstartts,,FAQ Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200003,2005200003,FAQ Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,faq_survey,,Original,6/23/2023,No,Yes,open-source,Yes,faq_survey,text,,1036,faqcmpts,,FAQ Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200004,2005200004,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",Condition,AIREADI,Clinical Finding,S,1148971005,2024-04-11,2099-12-31,Null,skos:broadMatch,0.75,1148971005,screening_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,screening_survey,yesno,,1049,cmtrt_lfst,,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",607008,,Able to modify behavior and lifestyle to support health improvement,Condition,SNOMED,Clinical Finding,S,1148971005,0.75,,,10/2,,,,,,,,,,,,,,,,,
2005200005,2005200005,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",Meas Value,AIREADI,Answer,S,LA15574-9,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,LA15574-9,screening_survey,,Original,6/23/2023,Yes,Yes,protected,Yes,screening_survey,text,,1059,ancestry,,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",45880188,,Your ancestry or national origin,Meas Value,LOINC,Answer,S,LA15574-9,0.5,,,10/2,,,,,,,,,,,,,,,,,
2005200006,2005200006, Screening Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,screening_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,screening_survey,text,,1060,scrstartts,, Screening Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200007,2005200007, Screening Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,screening_survey,,Original,6/23/2023,Yes,Yes,open-source,Yes,screening_survey,text,,1061,scrcmpts,, Screening Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200008,2005200008, Pre-consent Survey Started Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,preconsent_survey,,Original,6/23/2023,No,Yes,open-source,Yes,preconsent_survey,text,,1069,preconstartts,, Pre-consent Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
2005200009,2005200009, Pre-consent Survey Completed Timestamp (from REDCap),Observation,AIREADI,Survey,S,99423-6,2024-04-11,2099-12-31,Null,skos:relatedMatch,0.5,99423-6,preconsent_survey,,Original,6/23/2023,No,Yes,open-source,Yes,preconsent_survey,text,,1070,preconcmpts,, Pre-consent Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,sec,seconds,8555,,,,,,,
