Origin,Date of Variable Modification,Map to OMOP?,transferred to fairhub,Protected or open-source?,Extension Needed?,FORM_NAME,MOCA File Fieldname,MOCA File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,Target_Domain_ID,Example Data,Data Type,Value Range,Data Description,Equivalent NDA MOCA element name (at https://nda.nih.gov/data_structure.html?short_name=moca01),TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,"Choices, Calculations, OR Slider Labels",Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Rater Name,,,,,,Mary Bernard,String,,administrator of the test,none,,,,,,,,,,,,,,AIREADI,,Rater Name,Observation,administrator of the test,,
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Moca File Number,,,,,identifier ,US-406691-414874-18274,String,,autogenerated file id by duo application,none,,,,,,,,,,,,,,AIREADI,,Moca File Number,Observation,autogenerated file id by duo application,,
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Institute File number,,,,,identifier ,7092,Integer,,partipant id,src_subject_id,,,,,,,,,,,,,,AIREADI,,Institute File number,Observation,partipant id,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Test Upload Date,,,,,measurement ,20-12-2022,Datetime,,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,interview_date,3006440,,Date form completed,Observation,LOINC,Clinical Observation,S,30947-6,skos:closeMatch,1,,,,AIREADI,,Test Upload Date,Observation,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,30947-6:skos:closeMatch:1:,
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Certificate Id,,,,,identifier ,USBERMA710613541,String,,administrators training certificate id,none,,,,,,,,,,,,,,AIREADI,,Certificate Id,Observation,administrators training certificate id,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Trails,,,,,observation,0,Integer,0-1,Trail drawings score,section of visuospatial_executive,4165596,,Trail making test,Measurement,SNOMED,Staging / Scales,S,273882000,skos:exactMatch,1,,,,AIREADI,,Trails,Observation,Trail drawings score,273882000:skos:exactMatch:1:,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),trails_time,sec,seconds,8555,measurement,8,Integer,,Time taken to do trails in seconds,none,,,,,,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do trails in seconds,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Cube,,,,,observation,1,Integer,0-1,Cube drawings score,section of visuospatial_executive,,,,,,,,,,,,,,AIREADI,MOCA,Cube,Observation,Cube drawings score,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),cube_time,sec,seconds,8555,measurement,17,Integer,,Time taken to do cube in seconds,none,,,,,,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do cube in seconds,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Clock (3 points),,,,,observation,0,Integer,0-1,Clock drawings score,section of visuospatial_executive,21492218,,Clock drawing panel [GPCOG],Observation,LOINC,Survey,S,79150-9,skos:exactMatch,1,,,,AIREADI,,Clock (3 points),Observation,Clock drawings score,79150-9:skos:exactMatch:1:,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),clock_time,sec,seconds,8555,measurement,9,Integer,,Time taken to do clock in seconds,none,,,,,,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do clock in seconds,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Naming (3 points),,,,,observation,3,Integer,0-3,Animal name recall task,naming,4169312,,Object naming test,Measurement,SNOMED,Staging / Scales,S,273656006,skos:broadMatch,0.75,,,,AIREADI,MOCA,Naming (3 points),Observation,Animal name recall task,273656006:skos:broadMatch:0.75:,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Naming(sec.),naming_time,sec,seconds,8555,measurement,21,Integer,,time in seconds to perform the animal name recall task,none,,,,,,,,,,,,,,AIREADI,MOCA,Naming(sec.),Observation,time in seconds to perform the animal name recall task,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Memory Trial 1,,,,,observation,5,Integer,0-5,Words correctly repeated (1st trial),memory_1st,4169340,,Short-term memory test,Measurement,SNOMED,Staging / Scales,S,273805000,skos:broadMatch,0.5,,,,AIREADI,MOCA,Memory Trial 1,Observation,Words correctly repeated (1st trial),273805000:skos:broadMatch:0.5:,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Memory Trial 1(sec.),memorytrial1_time,,,,measurement,5,Integer,,Time in seconds to perform the above task.,none,,,,,,,,,,,,,,AIREADI,MOCA,Memory Trial 1(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Memory Trial 2,,,,,observation,5,Integer,0-5,Words correctly repeated (2nd trial),memory_2nd,4169340,,Short-term memory test,Measurement,SNOMED,Staging / Scales,S,273805000,skos:broadMatch,0.5,,,,AIREADI,MOCA,Memory Trial 2,Observation,Words correctly repeated (2nd trial),273805000:skos:broadMatch:0.5:,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Memory Trial 2(sec.),memorytrial2_time,sec,seconds,8555,measurement,4,Integer,,Time in seconds to perform the above task.,none,,,,,,,,,,,,,,AIREADI,MOCA,Memory Trial 2(sec.),Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Digit Span,,,,,observation,2,Integer,0-2,Repeating digits score,attention_digit,4153980,,Digit span performance,Observation,SNOMED,Observable Entity,S,283884005,skos:exactMatch,1,,,,AIREADI,MOCA,Digit Span,Observation,Repeating digits score,283884005:skos:exactMatch:1:,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Digit Span(sec._,digitspan_time,,,,measurement,6,Integer,,Time in seconds to perform the above task.,none,,,,,,,,,,,,,,AIREADI,MOCA,Digit Span(sec._,Observation,Time in seconds to perform the above task.,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Letter A,,,,,observation,0,Integer,0-1,Letter tapping score,attention_letter,,,,,,,,,,,,,,AIREADI,MOCA,Letter A,Observation,Letter tapping score,,
Original,10/31/2023,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),lettera_time,sec,seconds,8555,measurement,23,Integer,,Time in seconds to perform the above task.,none,,,,,,,,,,,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
