Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub,Protected_or_open-source,EXTENSION_NEEDED,FORM_NAME,MOCA_FILE_FIELDNAME,MOCA_FILE_FIELDNAME_NAMING_UNIT,SRC_CODE,SRC_CODE_DESCRIPTION,UCUM_CONCEPT_ID,Example_Data,DATA_TYPE,VALUE_RANGE,Data_Description,Equivalent_NDA_MOCA_element_name,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,Choices_Calculations_OR_Slider_Labels,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Original,10/31/2023,No,,locked (unavailable),No,MOCA (Version 8.1),Rater Name,,Rater Name,administrator of the test,,Mary Bernard,String,,administrator of the test,none,,,,,,,,,,,,,,AIREADI,,Rater Name,Observation,administrator of the test,,
Original,10/31/2023,No,,locked (unavailable),No,MOCA (Version 8.1),Moca File Number,,Moca File Number,autogenerated file id by duo application,,US-406691-414874-18274,String,,autogenerated file id by duo application,none,,,,,,,,,,,,,,AIREADI,,Moca File Number,Observation,autogenerated file id by duo application,,
Original,10/31/2023,No,,open-source,No,MOCA (Version 8.1),Institute File number,,Institute File number,partipant id,,7092,Integer,,partipant id,src_subject_id,,,,,,,,,,,,,,AIREADI,,Institute File number,Observation,partipant id,,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Test Upload Date,,test_upload_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,20-12-2022,Datetime,,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,interview_date,3006440,,Date form completed,Observation,LOINC,Clinical Observation,S,30947-6,skos:closeMatch,1,,,,AIREADI,,Test Upload Date,Observation,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,30947-6:skos:closeMatch:1:,
Original,10/31/2023,No,,locked (unavailable),No,MOCA (Version 8.1),Certificate Id,,Certificate Id,administrators training certificate id,,USBERMA710613541,String,,administrators training certificate id,none,,,,,,,,,,,,,,AIREADI,,Certificate Id,Observation,administrators training certificate id,,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Trails,,trails_visuospatial_executive,Trail drawings score,44777566,0,Integer,0-1,Trail drawings score,section of visuospatial_executive,4165596,,Trail making test,Measurement,SNOMED,Staging / Scales,S,273882000,skos:exactMatch,1,,,,AIREADI,,Trails,Observation,Trail drawings score,273882000:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),trails_time,trails_visuospatial_executive_time,Time taken to do trails in seconds,8555,8,Integer,,Time taken to do trails in seconds,none,2005200344,2005200344,Time taken to do trails in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do trails in seconds,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Cube,,cube_visuospatial_executive,Cube drawings score,44777566,1,Integer,0-1,Cube drawings score,section of visuospatial_executive,2005200345,2005200345,Cube drawings score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Cube,Observation,Cube drawings score,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),cube_time,cube_visuospatial_executive_time,Time taken to do cube in seconds,8555,17,Integer,,Time taken to do cube in seconds,none,2005200346,2005200346,Time taken to do cube in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do cube in seconds,,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Clock (3 points),,clock_visuospatial_executive,Clock drawings score,44777566,0,Integer,0-1,Clock drawings score,section of visuospatial_executive,21492218,,Clock drawing panel [GPCOG],Observation,LOINC,Survey,S,79150-9,skos:exactMatch,1,,,,AIREADI,,Clock (3 points),Observation,Clock drawings score,79150-9:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),clock_time,clock_visuospatial_executive_time,Time taken to do clock in seconds,8555,9,Integer,,Time taken to do clock in seconds,none,2005200347,2005200347,Time taken to do clock in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do clock in seconds,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Naming (3 points),,naming,Animal name recall task,,3,Integer,0-3,Animal name recall task,naming,2005200348,2005200348,Animal name recall task score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:broadMatch,1,,273656006,,AIREADI,MOCA,Naming (3 points),Observation,Animal name recall task,:skos:broadMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Naming(sec.),naming_time,naming_time,time in seconds to perform the animal name recall task,8555,21,Integer,,time in seconds to perform the animal name recall task,none,2005200349,2005200349,Time in seconds to perform the animal name recall task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Naming(sec.),Observation,time in seconds to perform the animal name recall task,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 1,,memory_trial1,Words correctly repeated (1st trial),,5,Integer,0-5,Words correctly repeated (1st trial),memory_1st,2005200350,2005200350,Words correctly repeated (1st trial) score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:broadMatch,1,,273805000,,AIREADI,MOCA,Memory Trial 1,Observation,Words correctly repeated (1st trial),:skos:broadMatch:1:,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 1(sec.),memorytrial1_time,memory_trial1_time,Time in seconds to perform the above task.,8555,5,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the words correctly repeated (1st trial),Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Memory Trial 1(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Memory Trial 2,,memory_trial2,Words correctly repeated (2nd trial),,5,Integer,0-5,Words correctly repeated (2nd trial),memory_2nd,2005200352,2005200352,Words correctly repeated (2nd trial) score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:broadMatch,1,,273805000,,AIREADI,MOCA,Memory Trial 2,Observation,Words correctly repeated (2nd trial),:skos:broadMatch:1:,
