Origin,DateofVariableModification,MaptoOMOP,transferred to fairhub,Protected or open-source?,Extension_Needed,FORM_NAME,MOCA File Fieldname,MOCA File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,Target_Domain_ID,Example Data,Data Type,Value Range,Data Description,Equivalent NDA MOCA element name (at https://nda.nih.gov/data_structure.htmlshort_name=moca01),TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,"Choices, Calculations, OR Slider Labels",Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Rater Name,,Rater Name,,,,Mary Bernard,String,,administrator of the test,none,,,,,,,,,,,,,,AIREADI,,Rater Name,Observation,administrator of the test,,
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Moca File Number,,Moca File Number,,,identifier ,US-406691-414874-18274,String,,autogenerated file id by duo application,none,,,,,,,,,,,,,,AIREADI,,Moca File Number,Observation,autogenerated file id by duo application,,
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Institute File number,,Institute File number,,,identifier ,7092,Integer,,partipant id,src_subject_id,,,,,,,,,,,,,,AIREADI,,Institute File number,Observation,partipant id,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Test Upload Date,,test_upload_date,,,measurement ,20-12-2022,Datetime,,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,interview_date,3006440,,Date form completed,Observation,LOINC,Clinical Observation,S,30947-6,skos:closeMatch,1,,,,AIREADI,,Test Upload Date,Observation,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,30947-6:skos:closeMatch:1:,
Original,10/31/2023,No,,,No,MOCA (Version 8.1),Certificate Id,,Certificate Id,,,identifier ,USBERMA710613541,String,,administrators training certificate id,none,,,,,,,,,,,,,,AIREADI,,Certificate Id,Observation,administrators training certificate id,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Trails,,trails_visuospatial_executive,,,observation,0,Integer,0-1,Trail drawings score,section of visuospatial_executive,4165596,,Trail making test,Measurement,SNOMED,Staging / Scales,S,273882000,skos:exactMatch,1,,,,AIREADI,,Trails,Observation,Trail drawings score,273882000:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),trails_time,sec,seconds,8555,measurement,8,Integer,,Time taken to do trails in seconds,none,2005200344,2005200344,Time taken to do trails in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do trails in seconds,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Cube,,cube_visuospatial_executive,,,observation,1,Integer,0-1,Cube drawings score,section of visuospatial_executive,2005200345,2005200345,Cube drawings score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Cube,Observation,Cube drawings score,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),cube_time,sec,seconds,8555,measurement,17,Integer,,Time taken to do cube in seconds,none,2005200346,2005200346,Time taken to do cube in seconds,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time taken to do cube in seconds,,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Clock (3 points),,clock_visuospatial_executive,,,observation,0,Integer,0-1,Clock drawings score,section of visuospatial_executive,21492218,,Clock drawing panel [GPCOG],Observation,LOINC,Survey,S,79150-9,skos:exactMatch,1,,,,AIREADI,,Clock (3 points),Observation,Clock drawings score,79150-9:skos:exactMatch:1:,
