Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub_REDCap_dataset,Protected_or_open-source,Extension_Needed,original_sort_order,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,NOTES_Outdated,Pre-Extension Predicate_ID,Pre-Extension Confidence,Choices_Calculations_OR_Slider_Labels,Field_Note,PhenX_Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Ext_Vocabulary_Subcategory,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code ,REDCAP_ File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,Date-Timestamp-AskedByDoc-Metadata Flag
Changed,9/10/2024,Yes,Yes,open-source,Yes,30,recruitment_survey,text,,1029,recstartts,,Recruitment Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Started Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/11/2024,Yes,Yes,open-source,Yes,31,recruitment_survey,text,,1030,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,Recruitment Survey Completed Timestamp (from REDCap),99423-6,10/2,,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,32,faq_survey,text,,1031,faqcmpdat,,FAQ survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,FAQ survey date (date survey/form opened),,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,9/13/2024,Yes,Yes,open-source,Yes,36,faq_survey,text,,1035,faqstartts,,FAQ Survey Started Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Started Timestamp (from REDCap),398215006,10/2,,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Started Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,9/14/2024,Yes,Yes,open-source,Yes,37,faq_survey,text,,1036,faqcmpts,,FAQ Survey Completed Timestamp (from REDCap),4041097,,Date-time,Observation,SNOMED ,Qualifier Value,S,118575009,skos:closeMatch,0.75,FAQ Survey Completed Timestamp (from REDCap),398215006,10/2,,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Completed Timestamp (from REDCap),118575009:skos:closeMatch:0.75:,,sec,seconds,8555,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,38,screening_survey,text,,1037,scrcmpdat,,Screening survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,Screening survey date (date survey/form opened),,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,4/30/2024,Yes,Yes,open-source,Yes,32,faq_survey,text,,1031,faqcmpdat,,FAQ survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,FAQ survey date (date survey/form opened),,10/2,,,,note that per OMOP vocab this goes in the Measurement Value Domain.,,,,,,,,,,,,,,,Y
Changed,5/2/2024,Yes,Yes,open-source,Yes,43,screening_survey,yesno,,1042,mh_a1c,,Elevated A1C levels (elevated blood sugars),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,Elevated A1C levels (elevated blood sugars),269823000,10/2,,,,,,,,,AIREADI,screening_survey,,Observation,Elevated A1C levels (elevated blood sugars),:skos:exactMatch:1:,,,,,Y
Changed,5/2/2024,Yes,Yes,open-source,Yes,44,screening_survey,yesno,,1043,mhterm_dm2,,Type II Diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,201826,LA10552-0 | 44054006,10/2,,,,,,,,,,,,,,,,,,,Y
Changed,5/2/2024,Yes,Yes,open-source,Yes,46,screening_survey,yesno,,1045,mhterm_predm,,Pre-diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,37018196,714628002,10/2,,,,,,,,,,,,,,,,,,,Y
