concept_id,concept_name,domain_id,vocabulary_id,subvocabulary_id,concept_code,PREDICATE_ID,CONFIDENCE,predicate_label,provenance,,Origin,Date of Variable Modification,Map to OMOP?,transferred to fairhub (REDCap dataset),Protected or open-source?,Extension Needed,original sort order,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,CONFIDENCE,MODIFIER,NOTES,Dev Version,,"Choices, Calculations, OR Slider Labels",Field Note,PhenX Protocol,PhenX_Protocol_ID,PhenX_Variable,PhenX_Exact_or_Modified,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Ext_Vocabulary_Subcategory,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code ,REDCAP_ File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,MOCA_File_Fieldname,MOCA File Fieldname_Naming_Unit,MOCA_Example_Data,MOCA_Data_Type,MOCA_Value_Range,MOCA_Data_Description,Equivalent_NDA_MOCA_element_name (at https://nda.nih.gov/data_structure.html?short_name=moca01)
,Recruitment Survey Started Timestamp (from REDCap),Observation,AIREADI,recruitment_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,No,Yes,open-source,Yes,30,recruitment_survey,text,,1029,recstartts,,Recruitment Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Started Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,Recruitment Survey Completed Timestamp (from REDCap),Observation,AIREADI,recruitment_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,No,Yes,open-source,Yes,31,recruitment_survey,text,,1030,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,recruitment_survey,,Observation,Recruitment Survey Completed Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,FAQ Survey Started Timestamp (from REDCap),Observation,AIREADI,faq_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,No,Yes,open-source,Yes,36,faq_survey,text,,1035,faqstartts,,FAQ Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Started Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,FAQ Survey Completed Timestamp (from REDCap),Observation,AIREADI,faq_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,No,Yes,open-source,Yes,37,faq_survey,text,,1036,faqcmpts,,FAQ Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,faq_survey,,Observation,FAQ Survey Completed Timestamp (from REDCap),#REF!,,sec,seconds,8555,,,,,,,
,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",Condition,AIREADI,screening_survey,1148971005,skos:broadMatch,0.75,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,50,screening_survey,yesno,,1049,cmtrt_lfst,,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",607008,,Able to modify behavior and lifestyle to support health improvement,Condition,SNOMED,Clinical Finding,S,1148971005,0.75,,,10/2,,,,,,,,AIREADI,screening_survey,,Observation,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",1148971005:1148971005:1148971005:,,,,,,,,,,,
,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",Meas Value,AIREADI,screening_survey,LA15574-9,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,protected,Yes,60,screening_survey,text,,1059,ancestry,,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",45880188,,Your ancestry or national origin,Meas Value,LOINC,Answer,S,LA15574-9,0.5,,,10/2,,,,,,,,AIREADI,screening_survey,,Observation,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",LA15574-9:LA15574-9:LA15574-9:,,,,,,,,,,,
, Screening Survey Started Timestamp (from REDCap),Observation,AIREADI,screening_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,61,screening_survey,text,,1060,scrstartts,, Screening Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,screening_survey,,Observation, Screening Survey Started Timestamp (from REDCap),99423-6:99423-6:99423-6:,,sec,seconds,8555,,,,,,,
, Screening Survey Completed Timestamp (from REDCap),Observation,AIREADI,screening_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,Yes,Yes,open-source,Yes,62,screening_survey,text,,1061,scrcmpts,, Screening Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,screening_survey,,Observation, Screening Survey Completed Timestamp (from REDCap),99423-6:99423-6:99423-6:,,sec,seconds,8555,,,,,,,
, Pre-consent Survey Started Timestamp (from REDCap),Observation,AIREADI,preconsent_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,No,Yes,open-source,Yes,70,preconsent_survey,text,,1069,preconstartts,, Pre-consent Survey Started Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,preconsent_survey,,Observation, Pre-consent Survey Started Timestamp (from REDCap),99423-6:99423-6:99423-6:,,sec,seconds,8555,,,,,,,
, Pre-consent Survey Completed Timestamp (from REDCap),Observation,AIREADI,preconsent_survey,99423-6,skos:relatedMatch,0.5,,,,Original,6/23/2023,No,Yes,open-source,Yes,71,preconsent_survey,text,,1070,preconcmpts,, Pre-consent Survey Completed Timestamp (from REDCap),1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,0.5,,,10/2,,,,,,,,AIREADI,preconsent_survey,,Observation, Pre-consent Survey Completed Timestamp (from REDCap),99423-6:99423-6:99423-6:,,sec,seconds,8555,,,,,,,
